ERROR 2024-12-07 19:30:32,195 basehttp 49384 53032 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:30:32,360 basehttp 49384 29932 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:31:14,533 basehttp 49384 47780 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:31:14,706 basehttp 49384 56892 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:31:36,773 basehttp 49384 47780 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:31:44,226 basehttp 49384 47780 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:32:19,138 basehttp 67340 65308 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:32:44,491 basehttp 44584 63464 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:32:51,237 basehttp 31400 26932 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:34:40,087 basehttp 56368 48216 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:34:52,374 basehttp 56368 35708 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:34:52,537 basehttp 56368 58260 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:34:54,926 basehttp 56368 48216 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:34:55,088 basehttp 56368 35708 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:35:13,847 basehttp 57804 57444 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:35:25,303 basehttp 57804 57444 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:35:35,561 basehttp 57804 57444 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:35:45,076 basehttp 57804 57444 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:36:20,701 basehttp 57804 57444 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:37:14,466 basehttp 57804 57444 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:38:11,122 basehttp 50412 52556 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:38:52,477 basehttp 20788 58360 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:38:54,377 basehttp 20788 58360 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:38:54,915 basehttp 20788 58360 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:39:04,030 basehttp 24848 57072 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:44:30,165 basehttp 41200 8232 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:44:32,183 basehttp 41200 8232 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:44:39,762 basehttp 41200 45444 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:46:40,234 basehttp 41200 45444 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:46:47,392 basehttp 41200 48068 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:46:47,557 basehttp 41200 57096 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:47:02,280 basehttp 41200 48068 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:47:07,150 basehttp 41200 48068 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:49:01,307 basehttp 44468 24456 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:49:05,161 basehttp 67148 48536 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:50:59,655 basehttp 67148 48536 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:51:37,904 basehttp 66540 54644 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:51:45,722 basehttp 59768 61988 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 137
ERROR 2024-12-07 19:53:25,307 basehttp 41752 52204 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 147
ERROR 2024-12-07 20:01:22,763 basehttp 53988 23888 "GET /api/templates/1.1/submission/?board=2&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:01:53,165 basehttp 27552 30572 "GET /api/templates/1.1/submission/?board=2&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:01:56,125 basehttp 49752 65324 "GET /api/templates/1.1/submission/?board=2&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:02:35,165 basehttp 46680 45512 "GET /api/templates/1.1/submission/?board=2&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:02:40,857 basehttp 46680 45512 "GET /api/templates/1.1/submission/?board=2&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:03:09,260 basehttp 64732 47952 "GET /api/templates/1.1/submission/?board=2&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:03:27,531 basehttp 57836 54940 "GET /api/templates/1.1/submission/?board=2&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:03:48,064 basehttp 50720 6572 "GET /api/templates/1.1/submission/?board=2&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:04:13,938 basehttp 59400 2296 "GET /api/templates/1.1/submission/?board=2&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:04:19,313 basehttp 59400 24380 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 287
ERROR 2024-12-07 20:04:19,330 basehttp 59400 53452 "GET /api/templates/1.1/submission/?board=1&academic_year=1 HTTP/1.1" 500 287
